id,nest_status,active,plastic_status,collection_date,method,substrate
0122,Built,Unknown,Not visually present,04/05/2024,Electric Boat,Platform
0123,Built,Yes,Present,04/05/2024,Electric Boat,Tyre
0124,Built,Yes,Present,04/05/2024,Electric Boat,Tyre
0125,Built,Yes,Prevalent,04/05/2024,Electric Boat,Other
0126,Built,Yes,Prevalent,04/05/2024,Electric Boat,Decrepit boat
0127,Built,Yes,Present,04/05/2024,Electric Boat,Other
0128,Built,Yes,Not visually present,05/05/2024,Kayak,Other
0129,Built,Yes,Present,05/05/2024,Kayak,Other
0130,Built,Yes,Present,05/05/2024,Kayak,Other
0131,Built,Yes,Not visually present,05/05/2024,Kayak,Other
0132,Built,Unknown,Not visually present,05/05/2024,Kayak,Other
0133,Built,Yes,Not visually present,05/05/2024,Kayak,Decrepit boat
0134,Built,Yes,Present,05/05/2024,Kayak,Boat end
0135,Built,Yes,Present,05/05/2024,Kayak,Other
0136,Built,Yes,Present,05/05/2024,Kayak,Other
0137,Built,Yes,Present,05/05/2024,Kayak,Other
0138,Built,Yes,Present,05/05/2024,Kayak,Other
0139,Built,Yes,Prevalent,05/05/2024,Kayak,Other
0140,Built,Yes,Not visually present,05/05/2024,Kayak,Other
0141,Built,Yes,Present,05/05/2024,Kayak,Boat end
0142,Built,Yes,Present,05/05/2024,Kayak,Boat end
0143,Built,Yes,Present,05/05/2024,Kayak,Other
0144,Built,Yes,Present,05/05/2024,Kayak,Boat end
0145,Built,Yes,Not visually present,05/05/2024,Kayak,Boat end
0146,Built,Yes,Present,05/05/2024,Kayak,Boat end
0147,Built,Yes,Present,05/05/2024,Kayak,Other
0148,Built,Yes,Present,05/05/2024,Kayak,Other
0149,Built,Yes,Not visually present,05/05/2024,Kayak,Boat end
0150,Built,Yes,Present,05/05/2024,Kayak,Decrepit boat
0151,Built,Yes,Not visually present,05/05/2024,Kayak,Other
0152,Built,Yes,Present,05/05/2024,Kayak,Boat end
0153,Built,Yes,Present,05/05/2024,Kayak,Other
0154,Built,Unknown,Present,05/05/2024,Kayak,Boat end
0155,In Making,Yes,Present,05/05/2024,Kayak,Boat end
0156,Built,Yes,Prevalent,05/05/2024,Kayak,Boat end
0157,Built,Yes,Prevalent,05/05/2024,Kayak,Boat end
0158,Built,Yes,Present,05/05/2024,Kayak,Platform
